#Organism Name,Assembly,BioProject,BioSample,CDS,GC%,GenBank FTP,Host,Level,Neighbors,Organism Groups,RefSeq FTP,Release Date,Replicons,Replicons.1,Scaffolds,Size(Mb),Strain,WGS
Staphylococcus epidermidis ATCC 12228,GCA_000007645.1,PRJNA279,SAMN02603126,2482,32.0512,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/645/GCA_000007645.1_ASM764v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1,2002-12-20T00:00:00Z,chromosome:NC_004461.1/AE015929.1; plasmid pSE-12228-01:NC_005008.1/AE015930.1; plasmid pSE-12228-02:NC_005007.1/AE015931.1; plasmid pSE-12228-03:NC_005006.1/AE015932.1; plasmid pSE-12228-04:NC_005005.1/AE015933.1; plasmid pSE-12228-05:NC_005004.1/AE015934.1; plasmid pSE-12228-06:NC_005003.1/AE015935.1,,7.0,2.56461,ATCC 12228,
Staphylococcus epidermidis,GCA_006094375.1,PRJNA515334,SAMN10738425,2310,32.1745,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/375/GCA_006094375.1_ASM609437v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/094/375/GCF_006094375.1_ASM609437v1,2019-06-06T00:00:00Z,chromosome:NZ_CP035288.1/CP035288.1; plasmid unnamed1:NZ_CP035289.1/CP035289.1; plasmid unnamed2:NZ_CP035290.1/CP035290.1,,3.0,2.49106,ATCC 14990,
Staphylococcus epidermidis,GCA_006742205.1,PRJDB8042,SAMD00169832,2244,32.296,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/742/205/GCA_006742205.1_ASM674220v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/742/205/GCF_006742205.1_ASM674220v1,2019-06-11T23:06:00Z,chromosome:NZ_AP019721.1/AP019721.1; plasmid pSEP1:NZ_AP019722.1/AP019722.1,,2.0,2.4270400000000003,NBRC 100911,
Staphylococcus epidermidis,GCA_900086615.2,PRJEB13975,SAMEA3982825,2719,31.951,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/086/615/GCA_900086615.2_BPH0662,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/086/615/GCF_900086615.2_BPH0662,2016-05-12T00:00:00Z,chromosome 1:NZ_LT571449.1/LT571449.1; plasmid 2:NZ_LT571450.1/LT571450.1; plasmid 3:NZ_LT571451.1/LT571451.1; plasmid 4:NZ_LR736240.1/LR736240.1,,4.0,2.85474,BPH0662,
Staphylococcus epidermidis,GCA_900638695.1,PRJEB6403,SAMEA104318201,2628,32.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/695/GCA_900638695.1_59178_A02,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/695/GCF_900638695.1_59178_A02,2018-12-19T00:00:00Z,chromosome 1:NZ_LR134536.1/LR134536.1,,1.0,2.75081,NCTC13924,
Staphylococcus epidermidis,GCA_009685135.1,PRJNA532483,SAMN09103952,2605,31.9832,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/685/135/GCA_009685135.1_ASM968513v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/685/135/GCF_009685135.1_ASM968513v1,2019-11-21T00:00:00Z,chromosome:NZ_CP045648.1/CP045648.1; plasmid pBPH0747-01:NZ_CP045647.1/CP045647.1,,2.0,2.75103,IRL01,
Staphylococcus epidermidis,GCA_002850315.1,PRJNA308322,SAMN07444319,2584,32.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/315/GCA_002850315.1_ASM285031v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/315/GCF_002850315.1_ASM285031v1,2018-01-03T00:00:00Z,chromosome:NZ_CP013943.1/CP013943.1,,1.0,2.72755,DAR1907,
Staphylococcus epidermidis,GCA_902509525.1,PRJEB35032,SAMEA3712772,2446,32.1969,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/509/525/GCA_902509525.1_Se_RP62a_UoM,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/509/525/GCF_902509525.1_Se_RP62a_UoM,2019-11-22T00:00:00Z,chromosome 1:NZ_LR735432.1/LR735432.1; plasmid 2:NZ_LR735433.1/LR735433.1,,2.0,2.64647,none,
Staphylococcus epidermidis RP62A,GCA_000011925.1,PRJNA64,SAMN02603975,2455,32.1969,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/925/GCA_000011925.1_ASM1192v1,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/925/GCF_000011925.1_ASM1192v1,2002-01-09T00:00:00Z,chromosome:NC_002976.3/CP000029.1; plasmid pSERP:NC_006663.1/CP000028.1,,2.0,2.64384,RP62A,
Staphylococcus epidermidis,GCA_001956655.2,PRJNA358169,SAMN06167133,2384,32.1779,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/956/655/GCA_001956655.2_ASM195665v2,,Complete,,Bacteria;Terrabacteria group;Firmicutes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/655/GCF_001956655.1_ASM195665v2,2017-01-05T00:00:00Z,CP018841.1; chromosome:NZ_CP018842.1/CP018842.1; plasmid pHOB1:NZ_CP018843.1/CP018843.1; plasmid pHOB2:NZ_CP018844.1/CP018844.1,,3.0,2.6066700000000003,14.1.R1,
